cause_of_death,category_human
malignant neoplasm intrahepatic bile duct carcinoma,none
car occupant injured in noncollision transport accident driver injured in traffic accident,none
nocardiosis unspecified,none
deletion from autosomes unspecified,none
small kidney unspecified,none
malignant neoplasm bladder unspecified,bladder cancer
fetus and newborn affected by maternal use of alcohol,none
other specified disturbances of cerebral status of newborn,none
pilonidal cyst without abscess,none
other specified disorders of breast,none
encephalopathy unspecified,none
methaemoglobinaemia unspecified,none
mucopolysaccharidosis type ii,none
lichen planus unspecified,none
pedal cyclist injured in collision with two- or three-wheeled motor vehicle passenger injured in traffic accident,none
pulmonary candidiasis,none
other and unspecified symptoms and signs involving cognitive functions and awareness,none
cleft palate unspecified,none
congenital malformation syndromes involving early overgrowth,none
thalassaemia unspecified,none
malignant neoplasm ill-defined sites within the digestive system,none
other diseases of larynx,none
other specified noninfective disorders of lymphatic vessels and lymph nodes,none
gm2 gangliosidosis,none
occupant of heavy transport vehicle injured in noncollision transport accident person on outside of vehicle injured in nontraffic accident,none
abnormal weight loss,none
disorder of parathyroid gland unspecified,none
hypothyroidism unspecified,none
carcinoma in situ of breast unspecified,none
motorcycle rider injured in collision with railway train or railway vehicle driver injured in nontraffic accident,none
pedal cyclist injured in noncollision transport accident passenger injured in nontraffic accident,none
malignant neoplasm lower gum,oral cavity cancer
sepsis of newborn due to streptococcus group b,none
other bacterial infections of unspecified site,none
sequelae of other specified infectious and parasitic diseases,none
extrapyramidal and movement disorder unspecified,none
phlebitis and thrombophlebitis of unspecified site,none
other specified diseases and conditions complicating pregnancy childbirth and the puerperium,none
non-insulin-dependent diabetes mellitus with multiple complications,none
mental and behavioural disorders due to multiple drug use and use of other psychoactive substances withdrawal state,none
malignant neoplasm cardia,stomach cancer
occupant of three-wheeled motor vehicle injured in noncollision transport accident person injured while boarding or alighting,none
defects in the complement system,none
recurrent depressive disorder current episode severe without psychotic symptoms,none
person injured in collision between car and bus traffic,none
other cyst of bone,none
obstetric blood-clot embolism,none
motorcycle rider injured in noncollision transport accident passenger injured in traffic accident,none
congenital hydrocephalus unspecified,none
unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident,none
congenital stenosis and stricture of oesophagus,none
macleod syndrome,pulmonary disease
meckel diverticulum,none
chronic myeloproliferative disease,none
other specific arthropathies not elsewhere classified,none
epidermolysis bullosa letalis,none
recurrent depressive disorder unspecified,none
histoplasmosis duboisii,none
intestinal obstruction due to inspissated milk,none
unspecified diabetes mellitus with unspecified complications,none
pedal cyclist injured in collision with two- or three-wheeled motor vehicle driver injured in traffic accident,none
acute viral hepatitis unspecified,none
disease of stomach and duodenum unspecified,none
vitamin deficiency unspecified,none
malformation of urachus,none
ventricular tachycardia,none
immobility syndrome paraplegic,none
congenital malformations of palate not elsewhere classified,none
duodenal ulcer acute with both haemorrhage and perforation,none
dental caries unspecified,none
secondary malignant neoplasm of large intestine and rectum,colorectal cancer
deep phlebothrombosis in pregnancy,none
insulin-dependent diabetes mellitus with multiple complications,none
secondary malignant neoplasm of liver and intrahepatic bile duct,none
instantaneous death,none
unspecified intraventricular nontraumatic haemorrhage of fetus and newborn,none
osteonecrosis due to drugs,none
abscess of external ear,none
car occupant injured in collision with other nonmotor vehicle driver injured in traffic accident,none
acute endocarditis unspecified,none
other disorders of bilirubin metabolism,none
person injured while boarding or alighting from streetcar,none
benign neoplasm long bones of lower limb,none
other congenital malformations of pulmonary artery,none
malignant neoplasm lateral wall of bladder,bladder cancer
lymphocyte-rich classical hodgkin lymphoma,none
agenesis of lung,none
tuberculosis of intestines peritoneum and mesenteric glands,none
bursopathy unspecified,none
malignant neoplasm of other and ill-defined sites lower limb,none
pedestrian injured in collision with heavy transport vehicle or bus traffic accident,none
cellulitis of finger and toe,none
congenital malformations of corpus callosum,none
ulceration of vulva,none
intracerebral haemorrhage in brain stem,cerebrovascular disease
renal tubulo-interstitial disease unspecified,none
other specified birth injuries,none
benign neoplasm mediastinum,none
other and unspecified water transport accidents unspecified watercraft,none
chronic gastritis unspecified,none
other obesity,none
miliary tuberculosis unspecified,none
diverticular disease of small intestine without perforation or abscess,none
malignant neoplasm pleura,none
during surgical operation,none
other juvenile arthritis,none
vaping-related disorder,none
calculus of kidney with calculus of ureter,none
malignant neoplasm broad ligament,none
other and unspecified genitourinary tract infection in pregnancy,none
familial dysautonomia [riley-day],none
anankastic personality disorder,none
influenza with pneumonia other influenza virus identified,none
hiv disease resulting in cytomegaloviral disease,none
other cardiovascular disorders originating in the perinatal period,none
atherosclerotic heart disease,ischaemic heart disease
streptococcal infection unspecified site,none
subsequent myocardial infarction of unspecified site,ischaemic heart disease
disseminated cryptococcosis,none
mental and behavioural disorders due to multiple drug use and use of other psychoactive substances harmful use,none
autonomic dysreflexia,none
hiv disease resulting in other malignant neoplasms of lymphoid haematopoietic and related tissue,none
radiation proctitis,none
chronic atrial fibrillation from 2014 onwards,none
nonpyogenic meningitis,none
malignant neoplasm lower lobe bronchus or lung,lung cancer
other pemphigus,none
coronavirus infection unspecified site,none
malignant neoplasm ciliary body,none
other myelodysplastic syndromes,none
other conditions related to polyarteritis nodosa,none
other intestinal escherichia coli infections,none
fetus and newborn affected by other and unspecified morphological and functional abnormalities of placenta,none
unspecified nephritic syndrome focal and segmental glomerular lesions,none
pedal cyclist injured in noncollision transport accident unspecified pedal cyclist injured in nontraffic accident,none
hydronephrosis with ureteral stricture not elsewhere classified,none
bullous disorder unspecified,none
suppurative otitis media unspecified,none
periapical abscess without sinus,none
acquired coagulation factor deficiency,none
diverticulum of oesophagus,none
female with more than three x chromosomes,none
gastric ulcer acute with perforation,none
eating disorder unspecified,none
spontaneous abortion complete or unspecified without complication,none
minor partial trisomy,none
disorders of glossopharyngeal nerve,none
accident to other private fixed-wing aircraft injuring occupant,none
gastro-oesophageal reflux disease with oesophagitis,none
pneumonia due to other specified infectious organisms,none
angiotensin-converting-enzyme inhibitors,none
unspecified mental disorder due to brain damage and dysfunction and to physical disease,none
thoracoabdominal aortic aneurysm without mention of rupture,none
herpesviral encephalitis,none
hepatic failure unspecified,none
hypothermia not associated with low environmental temperature,none
chronic kidney disease stage 2,none
acute tonsillitis unspecified,none
echinococcus granulosus infection unspecified,none
disorders of phosphorus metabolism and phosphatases,none
peripheral vascular disease unspecified,none
algoneurodystrophy,none
asthma unspecified,pulmonary disease
enteroinvasive escherichia coli infection,none
rupture of bladder nontraumatic,none
war operations involving other explosions and fragments,none
other air transport accidents not elsewhere classified,none
other rupture of muscle nontraumatic,none
rickets active,none
localized salmonella infections,none
burkitt lymphoma,none
disorders of vagus nerve,none
other schistosomiases,none
neoplasm of uncertain or unknown behaviour craniopharyngeal duct,none
malabsorption due to intolerance not elsewhere classified,none
juvenile arthritis unspecified,none
disease of gallbladder unspecified,none
penicillins,none
sarcoidosis of lung,none
vascular myelopathies,none
polyarteritis with lung involvement [churg-strauss],none
pain in joint,none
secondary malignant neoplasm of other and unspecified parts of nervous system,none
other specified inflammation of vagina and vulva,none
malignant neoplasm middle third of oesophagus,esophageal cancer
infarction of spleen,none
foodborne clostridium perfringens [clostridium welchii] intoxication,none
malignant neoplasm skin of scalp and neck,none
duodenal ulcer chronic or unspecified with perforation,none
legal intervention involving other specified means,none
other lymphoid leukaemia,none
polydactyly unspecified,none
malignant neoplasm peritoneum unspecified,none
acute peritonitis,none
hiv disease resulting in multiple diseases classified elsewhere,none
congenital cyst of mediastinum,none
cholecystitis unspecified,none
other seropositive rheumatoid arthritis,none
secondary malignant neoplasm unspecified site,none
osteomyelitis of vertebra,none
perforation of bile duct,none
chondroectodermal dysplasia,none
other specified respiratory conditions of newborn,none
carcinoma in situ penis,none
benign neoplasm connective and other soft tissue of thorax,none
common variable immunodeficiency unspecified,none
gas gangrene,none
aortic valve disorder unspecified,none
pedestrian injured in collision with car pick-up truck or van traffic accident,none
sequelae of subarachnoid haemorrhage,cerebrovascular disease
spastic hemiplegia,none
fetus and newborn affected by other specified complications of labour and delivery,none
tetralogy of fallot,none
rheumatic diseases of endocardium valve unspecified,none
motorcycle rider injured in collision with fixed or stationary object passenger injured in traffic accident,none
malignant neoplasm vallecula,none
acute salpingitis and oophoritis,none
other obstetric embolism,none
disorders of plasma-protein metabolism not elsewhere classified,none
sarcoidosis of other and combined sites,none
juvenile dermatomyositis,none
other specified congenital malformations of heart,none
polyp of vocal cord and larynx,none
neonatal cerebral leukomalacia,none
malignant neoplasm cortex of adrenal gland,none
syndrome of inappropriate secretion of antidiuretic hormone,none
haemophilus meningitis,none
idiopathic orofacial dystonia,none
pneumonia due to escherichia coli,none
other congenital hydrocephalus,none
abscess of mediastinum,none
malignant neoplasm pancreas unspecified,pancreatic cancer
malignant neoplasm duodenum,none
other deletions from the autosomes,none
haemoperitoneum,none
other cholelithiasis,none
melkersson syndrome,none
sarcoidosis unspecified,none
congenital adrenogenital disorders associated with enzyme deficiency,none
airway disease due to other specific organic dusts,none
portal vein-hepatic artery fistula,none
acquired deformity of musculoskeletal system unspecified,none
chronic parametritis and pelvic cellulitis,none
atrioventricular block second degree,none
pleurisy,none
other congenital ichthyosis,none
malignant neoplasm angiosarcoma of liver,none
secondary and unspecified malignant neoplasm lymph node unspecified,none
malignant neoplasm corpus uteri unspecified,none
mitral valve disease unspecified,none
hepatic fibrosis,none
occupant [any] of heavy transport vehicle injured in unspecified nontraffic accident,none
chronic kidney disease stage 4,none
eosinophilic cellulitis [wells],none
malignant neoplasm major salivary gland unspecified,oral cavity cancer
staphylococcal infection unspecified site,none
hereditary deficiency of other clotting factors,none
peptic ulcer site unspecified chronic or unspecified with both haemorrhage and perforation,none
respiratory distress syndrome of newborn,none
other congenital malformations of great veins,none
car occupant injured in collision with heavy transport vehicle or bus passenger injured in traffic accident,none
malignant neoplasm unspecified,none
japanese encephalitis,none
viral pneumonia unspecified,none
refractory anaemia with ringed sideroblasts,none
carcinoid syndrome,none
carcinoma in situ unspecified,none
unspecified diabetes mellitus with ketoacidosis,none
prune belly syndrome,none
hereditary nephropathy not elsewhere classified focal and segmental glomerular lesions,none
dermatitis unspecified,none
other streptococcal sepsis,none
mental and behavioural disorders due to use of alcohol withdrawal state with delirium,none
concentric sclerosis [balo],none
antineoplastic antimetabolites,none
disease of pulmonary vessels unspecified,none
other specified cerebrovascular diseases,cerebrovascular disease
hiv disease resulting in haematological and immunological abnormalities not elsewhere classified,none
water-transport-related drowning and submersion without accident to watercraft unspecified watercraft,none
myelodysplastic syndrome with isolated del5q chromosomal abnormality,none
