cause_of_death,category_gpt_4o_mini,category_gpt_4o,category_consensus,consensus_no,without_consensus,category_unanimous_consensus,category_human
malignant neoplasm intrahepatic bile duct carcinoma,none,none,none,2,False,none,none
car occupant injured in noncollision transport accident driver injured in traffic accident,none,none,none,2,False,none,none
nocardiosis unspecified,none,none,none,2,False,none,none
deletion from autosomes unspecified,none,none,none,2,False,none,none
small kidney unspecified,none,none,none,2,False,none,none
malignant neoplasm bladder unspecified,bladder cancer,bladder cancer,bladder cancer,2,False,bladder cancer,bladder cancer
fetus and newborn affected by maternal use of alcohol,none,none,none,2,False,none,none
other specified disturbances of cerebral status of newborn,none,none,none,2,False,none,none
pilonidal cyst without abscess,none,none,none,2,False,none,none
other specified disorders of breast,none,none,none,2,False,none,none
encephalopathy unspecified,none,none,none,2,False,none,none
methaemoglobinaemia unspecified,none,none,none,2,False,none,none
mucopolysaccharidosis type ii,none,none,none,2,False,none,none
lichen planus unspecified,none,none,none,2,False,none,none
pedal cyclist injured in collision with two- or three-wheeled motor vehicle passenger injured in traffic accident,none,none,none,2,False,none,none
pulmonary candidiasis,none,none,none,2,False,none,none
other and unspecified symptoms and signs involving cognitive functions and awareness,none,none,none,2,False,none,none
cleft palate unspecified,none,none,none,2,False,none,none
congenital malformation syndromes involving early overgrowth,none,none,none,2,False,none,none
thalassaemia unspecified,none,none,none,2,False,none,none
malignant neoplasm ill-defined sites within the digestive system,none,none,none,2,False,none,none
other diseases of larynx,none,none,none,2,False,none,none
other specified noninfective disorders of lymphatic vessels and lymph nodes,none,none,none,2,False,none,none
gm2 gangliosidosis,none,none,none,2,False,none,none
occupant of heavy transport vehicle injured in noncollision transport accident person on outside of vehicle injured in nontraffic accident,none,none,none,2,False,none,none
abnormal weight loss,none,none,none,2,False,none,none
disorder of parathyroid gland unspecified,none,none,none,2,False,none,none
hypothyroidism unspecified,none,none,none,2,False,none,none
carcinoma in situ of breast unspecified,none,none,none,2,False,none,none
motorcycle rider injured in collision with railway train or railway vehicle driver injured in nontraffic accident,none,none,none,2,False,none,none
pedal cyclist injured in noncollision transport accident passenger injured in nontraffic accident,none,none,none,2,False,none,none
malignant neoplasm lower gum,oral cavity cancer,oral cavity cancer,oral cavity cancer,2,False,oral cavity cancer,oral cavity cancer
sepsis of newborn due to streptococcus group b,none,none,none,2,False,none,none
other bacterial infections of unspecified site,none,none,none,2,False,none,none
sequelae of other specified infectious and parasitic diseases,none,none,none,2,False,none,none
extrapyramidal and movement disorder unspecified,none,none,none,2,False,none,none
phlebitis and thrombophlebitis of unspecified site,none,none,none,2,False,none,none
other specified diseases and conditions complicating pregnancy childbirth and the puerperium,none,none,none,2,False,none,none
non-insulin-dependent diabetes mellitus with multiple complications,none,none,none,2,False,none,none
mental and behavioural disorders due to multiple drug use and use of other psychoactive substances withdrawal state,none,none,none,2,False,none,none
malignant neoplasm cardia,esophageal cancer,stomach cancer,esophageal cancer,1,True,,stomach cancer
occupant of three-wheeled motor vehicle injured in noncollision transport accident person injured while boarding or alighting,none,none,none,2,False,none,none
defects in the complement system,none,none,none,2,False,none,none
recurrent depressive disorder current episode severe without psychotic symptoms,none,none,none,2,False,none,none
person injured in collision between car and bus traffic,none,none,none,2,False,none,none
other cyst of bone,none,none,none,2,False,none,none
obstetric blood-clot embolism,none,none,none,2,False,none,none
motorcycle rider injured in noncollision transport accident passenger injured in traffic accident,none,none,none,2,False,none,none
congenital hydrocephalus unspecified,none,none,none,2,False,none,none
unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident,none,none,none,2,False,none,none
congenital stenosis and stricture of oesophagus,none,none,none,2,False,none,none
macleod syndrome,none,none,none,2,False,none,pulmonary disease
meckel diverticulum,none,none,none,2,False,none,none
chronic myeloproliferative disease,none,none,none,2,False,none,none
other specific arthropathies not elsewhere classified,none,none,none,2,False,none,none
epidermolysis bullosa letalis,none,none,none,2,False,none,none
recurrent depressive disorder unspecified,none,none,none,2,False,none,none
histoplasmosis duboisii,none,none,none,2,False,none,none
intestinal obstruction due to inspissated milk,none,none,none,2,False,none,none
unspecified diabetes mellitus with unspecified complications,none,none,none,2,False,none,none
pedal cyclist injured in collision with two- or three-wheeled motor vehicle driver injured in traffic accident,none,none,none,2,False,none,none
acute viral hepatitis unspecified,none,none,none,2,False,none,none
disease of stomach and duodenum unspecified,none,stomach cancer,stomach cancer,1,True,,none
vitamin deficiency unspecified,none,none,none,2,False,none,none
malformation of urachus,none,none,none,2,False,none,none
ventricular tachycardia,none,ischaemic heart disease,ischaemic heart disease,1,True,,none
immobility syndrome paraplegic,none,none,none,2,False,none,none
congenital malformations of palate not elsewhere classified,none,none,none,2,False,none,none
duodenal ulcer acute with both haemorrhage and perforation,none,none,none,2,False,none,none
dental caries unspecified,none,none,none,2,False,none,none
secondary malignant neoplasm of large intestine and rectum,colorectal cancer,colorectal cancer,colorectal cancer,2,False,colorectal cancer,colorectal cancer
deep phlebothrombosis in pregnancy,none,none,none,2,False,none,none
insulin-dependent diabetes mellitus with multiple complications,none,none,none,2,False,none,none
secondary malignant neoplasm of liver and intrahepatic bile duct,none,none,none,2,False,none,none
instantaneous death,none,none,none,2,False,none,none
unspecified intraventricular nontraumatic haemorrhage of fetus and newborn,none,none,none,2,False,none,none
osteonecrosis due to drugs,none,none,none,2,False,none,none
abscess of external ear,none,none,none,2,False,none,none
car occupant injured in collision with other nonmotor vehicle driver injured in traffic accident,none,none,none,2,False,none,none
acute endocarditis unspecified,none,none,none,2,False,none,none
other disorders of bilirubin metabolism,none,none,none,2,False,none,none
person injured while boarding or alighting from streetcar,none,none,none,2,False,none,none
benign neoplasm long bones of lower limb,none,none,none,2,False,none,none
other congenital malformations of pulmonary artery,none,none,none,2,False,none,none
